Occupation score,Occupation score adjusted,Colby score,first_name,last_name,urls,args
1.0,0.06666666666666668,0.0,Michael,Gordon,"['https://www.odt.co.nz/business/multiple-market-risks-week-make-predictions-tough', 'https://www.law.com/newyorklawjournal/2018/07/30/akshay-belani-joins-stroock-from-morgan-lewis/', 'http://www.espn.com.au/nrl/story/_/id/24223596/sami-shows-best-inconsistent-titans', 'https://www.interest.co.nz/news/95042/economists-say-it%25E2%2580%2599s-likely-new-zealand%25E2%2580%2599s-unemployment-rate-won%25E2%2580%2599t-move-when-data-released']",0
40.0,1.6666666666666667,0.0,David,Pulver,['http://bharatapress.com/2018/07/29/tributary-capital-management-llc-has-1-39-million-stake-in-carters-inc-cri/'],0
6.0,0.35294117647058826,0.0,Andrew,Davis,"['http://www.gainesville.com/news/20180728/students-get-backpacks-glimpse-of-safety-training-at-back-to-school-rally', 'http://www.the-messenger.com/sports/article_bd3d408d-fe9d-5f4b-8e29-b289e6068c10.html']",0
2.0,0.13333333333333333,0.0,Michael,Gordon,['https://www.nrl.com/news/2018/07/29/gold-coast-titans-notch-their-biggest-ever-win-over-the-warriors/'],0
0.0,0.0,0.0,Bernard,Osher,['https://wydaily.com/local-news/2018/07/28/william-marys-christopher-wren-association-to-be-renamed-as-part-of-100000-grant/'],0
0.0,0.0,0.0,Sunil,Thakor,['http://www.dnaindia.com/ahmedabad/report-gujarat-vaccine-deaths-team-from-centre-gives-clean-chit-2642922'],0
0.0,0.0,0.0,Kathleen,Reed,['https://lfpress.com/news/local-news/deadly-crossover-crash-worst-day-of-my-life-woman-tells-st-thomas-court'],0
3.0,0.2,0.0,Michael,Gordon,"['http://www.wamc.org/post/rogovoy-report-72718', 'https://www.nrl.com/news/2018/07/28/tyrone-peacheys-compelling-audition-to-become-penrith-panthers-permanent-fullback/']",0
14.0,0.5833333333333334,0.0,David,Pulver,"['https://www.fairfieldcurrent.com/2018/07/27/carters-cri-releases-q3-earnings-guidance.html', 'https://www.mareainformativa.com/2018/07/26/carters-cri-releases-quarterly-earnings-results-beats-estimates-by-0-22-eps.html']",0
39.5,1.5799999999999998,0.0,Phillip,Frost,"['https://www.miaminewtimes.com/arts/pusha-t-floyd-mayweather-becky-g-party-in-miami-10563190', 'https://flecha123.com/2018/07/27/the-insider-phillip-frost-made-a-purchase-of-90000-shares-of-opko-health-inc-opk-first-bancorp-fbp-had-3-bulls/']",0
0.0,0.0,0.0,Steve,Cummings,['https://www.theinertia.com/surf/the-playful-perfection-that-has-been-lowers-this-week/'],0
7.75,0.4558823529411765,0.0,Andrew,Davis,"['https://www.rollcall.com/news/hoh/lipinski-remembers-late-staffer-andrew-davis', 'https://www.politico.com/newsletters/morning-transportation/2018/07/27/a-series-of-unfortunate-delays-298432', 'https://www.thedailytimes.com/news/burchett-fundraiser-hosts-included-names-of-matlock-supporters/article_713c0331-8d9e-5e6c-8b5a-be6c5277a27f.html', 'http://kbnd.com/kbnd-news/local-news-feed/373253']",0
0.0,0.0,0.0,Bernard,Osher,['http://dailytidings.com/news/top-stories/olli-builds-learning-and-social-connections'],0
47.5,2.6388888888888893,0.0,Rick,McVey,"['https://seekingalpha.com/article/4190115-marketaxess-mktx-ceo-rick-mcvey-q2-2018-results-earnings-call-transcript', 'https://globenewswire.com/news-release/2018/07/25/1541739/0/en/MarketAxess-Reports-Second-Quarter-2018-Revenues-of-107-0-Million-Operating-Income-of-52-0-Million-and-Diluted-EPS-of-1-07.html']",0
0.0,0.0,0.0,Steve,Cummings,['http://www.wbay.com/content/news/Oshkosh-warming-shelter-proposes-major-expansion--489064721.html'],0
17.0,0.7083333333333334,0.0,David,Pulver,['https://www.fairfieldcurrent.com/2018/07/24/carters-cri-scheduled-to-post-quarterly-earnings-on-wednesday.html'],0
24.5,1.3611111111111112,0.0,Anne,Wolff,"['http://endigest.com/2018/07/25/occidental-petroleum-oxy-holder-salem-capital-management-raised-stake-by-364800-as-market-valuation-rose-amphenol-aph-shareholder-coastline-trust-co-has-raised-holding/', 'https://cardinalweekly.com/analysts-see-1-61-eps-for-digital-realty-trust-inc-dlr-spf-beheer-bv-has-trimmed-amphenol-aph-stake-by-4-44-million/']",0
70.0,2.8,0.0,Phillip,Frost,['http://kreviewer.com/2018/07/25/the-insider-phillip-frost-pays-for-55000-shares-of-opko-health-inc-opk-ingles-markets-imkta-has-1-15-sentiment/'],0
0.0,0.0,0.0,Susan,Boland,['https://www.mdjonline.com/news/lifestyle/sally-litchfield-summer-girl-s-night-out-thrills-glover-park/article_31e7a828-8fa1-11e8-ba6e-57eda281040d.html'],0
3.25,0.1911764705882353,0.0,Andrew,Davis,"['http://www.wtxl.com/news/madison-county-community-mourns-loss-of--year-old-child/article_d4d0904a-8f7e-11e8-a7a1-2f17b0773e46.html', 'http://www.gainesville.com/news/20180724/get-head-start-on-school-year', 'https://www.eurosport.co.uk/fencing/historic-silver-success-for-kruse-at-fencing-world-championships_sto6861019/story.shtml', 'http://www.bbc.co.uk/sport/fencing/44935278']",0
